title,author,length
Red Sky Mourning,By: Jack Carr,Length: 15 hrs and 30 mins
Mark of the Fool 4,By: J.M. Clarke,Length: 19 hrs and 45 mins
The House of Love and Death,By: Andrew Klavan,Length: 10 hrs and 25 mins
Great Awakening,"By: Alex Jones, Kent Heckenlively - contributor",Length: 12 hrs and 48 mins
Crystal World,By: B.V. Larson,Length: 14 hrs and 26 mins
The Proof of the Pudding,By: Rhys Bowen,Length: Not Yet Known
Seraph,By: Lily Mayne,Length: 17 hrs and 50 mins
The Wuhan Cover-Up,By: Robert F. Kennedy Jr.,Length: 15 hrs and 50 mins
Fire and Song,By: Bryce O'Connor,Length: 32 hrs and 37 mins
The Titan of Baleros,By: pirateaba,Length: 40 hrs and 55 mins
Exploring Home,By: A. American,Length: 11 hrs and 59 mins
A Fire in the Flesh,By: Jennifer L. Armentrout,Length: 24 hrs and 3 mins
Only in Death,By: Dan Abnett,Length: 11 hrs and 28 mins
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
The Great Disappearance,By: Dr. David Jeremiah,Length: 6 hrs and 25 mins
Know What Matters,By: Ron Shaich,Length: 8 hrs and 30 mins
The Fall of Cadia,By: Robert Rath,Length: 19 hrs and 42 mins
House of Flame and Shadow,By: Sarah J. Maas,Length: Not Yet Known
Preceptor,By: Terry Mancour,Length: 22 hrs and 13 mins
These Broken Roads,By: Donna Marie Hayes,Length: 7 hrs and 15 mins
